arise;arisen
awake;awoken
be;been
beat;beaten/beat
become;become
begin;begun
bend;bent
break;broken
bite;bitten
bleed;bled
blow;blown
bring;brought
build;built
buy;bought
burn;burned/burnt
catch;caught
choose;chosen
come;come
do;done
drink;drunk
drive;driven
cling;clung
deal;dealt
dig;dug
dive;dived
draw;drawn
dream;dreamed/dreamt
eat;eaten
fall;fallen
feel;felt
fight;fought
find;found
fly;flown
forget;forgotten
freeze;frozen
forgive;forgiven
get;gotten
give;given
go;gone
grow;grown
have/has;had
hear;heard
hide;hidden
hold;held
keep;kept
know;known
leave;left
lend;lent
hang (a person);hanged
hang (an object);hung
lose;lost
lay (set an object down);laid
lead;led
learn;learned/learnt
lie (to recline);lain
light;lighted/lit
mean;meant
meet;met
make;made
pay;paid
ride;ridden
ring;rung
run;run
rise;risen
say;said
see;seen
seek;sought
sell;sold
send;sent
shake;shaken
shine (radiate light);shone
shine (make shiny);shone/shined
show;shown/showed
sing;sung
sink;sunk
sit;sat
slay;slain
sleep;slept
speak;spoken
speed;sped
spend;spent
stand;stood
steal;stolen
swim;swum
spring;sprung
swear;sworn
take;taken
teach;taught
tear;torn
tell;told
think;thought
throw;thrown
understand;understood
wake;woken
wear;worn
win;won
write;written
weep;wept
